,H,name,step,acf,quadrants,acf_diff,spline,spline_gradient,smooth
0,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,0.0,1.0,[2],,0.9713822114182937,0.03230828062004372,70.72249938994628
1,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,1.0,1.0285714285714285,[2],0.02857142857142847,1.003527769950363,0.03198316655986714,70.72249938994628
2,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,2.0,1.0571428571428572,[2],0.028571428571428692,1.0353492047695727,0.0316600331943249,70.72249938994628
3,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,3.0,1.0857142857142856,[2],0.02857142857142847,1.0668484965705576,0.03133888052341697,70.72249938994628
4,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,4.0,1.1142857142857143,[2],0.028571428571428692,1.0980276260479516,0.031019708547143355,70.72249938994628
5,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,5.0,1.1428571428571428,[2],0.02857142857142847,1.128888573896389,0.030702517265504076,70.72249938994628
6,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,6.0,1.1714285714285715,[2],0.028571428571428692,1.1594333208105045,0.030387306678499114,70.72249938994628
7,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,7.0,1.2,[2],0.02857142857142847,1.189663847484932,0.030074076786128473,70.72249938994628
8,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,8.0,1.2285714285714286,[2],0.028571428571428692,1.219582134614306,0.029762827588392157,70.72249938994628
9,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,9.0,1.2571428571428571,[2],0.02857142857142847,1.2491901628932611,0.029453559085290165,70.72249938994628
10,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,10.0,1.2857142857142856,[2],0.02857142857142847,1.2784899130164311,0.02914627127682249,70.72249938994628
11,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,11.0,1.3142857142857143,[2],0.028571428571428692,1.3074833656784508,0.028840964162989136,70.72249938994628
12,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,12.0,1.342857142857143,[2],0.028571428571428692,1.336172501573954,0.028537637743790114,70.72249938994628
13,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,13.0,1.3714285714285714,[2],0.02857142857142847,1.364559301397576,0.028236292019225406,70.72249938994628
14,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,14.0,1.4,[2],0.02857142857142847,1.3926457458439498,0.02793692698929502,70.72249938994628
15,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,15.0,1.4285714285714286,[2],0.028571428571428692,1.4204338156077108,0.027639542653998966,70.72249938994628
16,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,16.0,1.457142857142857,[2],0.02857142857142847,1.4479254913834925,0.02734413901333723,70.72249938994628
17,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,17.0,1.4857142857142858,[2],0.028571428571428692,1.4751227538659302,0.027050716067309813,70.72249938994628
18,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,18.0,1.5142857142857142,[2],0.02857142857142847,1.5020275837496568,0.026759273815916723,70.72249938994628
19,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,19.0,1.5428571428571427,[2],0.02857142857142847,1.528641961729308,0.026469812259157954,70.72249938994628
20,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,20.0,1.5714285714285714,[2],0.028571428571428692,1.5549678684995176,0.026182331397033503,70.72249938994628
21,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,21.0,1.6,[2],0.028571428571428692,1.5810072847549201,0.025896831229543383,70.72249938994628
22,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,22.0,1.6285714285714286,[2],0.02857142857142847,1.6067621911901493,0.025613311756687584,70.72249938994628
23,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,23.0,1.657142857142857,[2],0.02857142857142847,1.6322345684998396,0.025331772978466095,70.72249938994628
24,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,24.0,1.6857142857142857,[2],0.028571428571428692,1.6574263973786265,0.02505221489487895,70.72249938994628
25,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,25.0,1.7142857142857144,[2],0.028571428571428692,1.6823396585211428,0.02477463750592611,70.72249938994628
26,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,26.0,1.7428571428571429,[2],0.02857142857142847,1.7069763326220233,0.024499040811607593,70.72249938994628
27,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,27.0,1.7714285714285714,[2],0.02857142857142847,1.7313384003759023,0.024225424811923406,70.72249938994628
28,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,28.0,1.7999999999999998,[2],0.02857142857142847,1.755427842477415,0.02395378950687354,70.72249938994628
29,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,29.0,1.8285714285714285,[2],0.028571428571428692,1.7792466396211941,0.023684134896457994,70.72249938994628
30,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,30.0,1.8571428571428572,[2],0.028571428571428692,1.8027967725018754,0.02341646098067677,70.72249938994628
31,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,31.0,1.8857142857142857,[2],0.02857142857142847,1.8260802218140926,0.023150767759529872,70.72249938994628
