,H,name,step,acf,quadrants,acf_diff,spline,spline_gradient,smooth
0,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,1.0,1.0,[1],,1.068961632287204,0.1018045841881196,7.774801574802362
1,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,2.0,1.2280416002548038,[1],0.2280416002548038,1.209660455120224,0.1786173467709183,7.774801574802362
2,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,3.0,1.4560832005096076,[1],0.2280416002548038,1.4242448964150367,0.2495758211117052,7.774801574802362
3,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,4.0,1.6841248007644112,[1],0.22804160025480358,1.7068606679296308,0.3146800072104803,7.774801574802362
4,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,5.0,1.9121664010192148,[1],0.22804160025480358,2.051653481421993,0.3739299050672435,7.774801574802362
5,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,6.0,2.654504366634071,[1],0.7423379656148561,2.4527690486501137,0.42732551468199487,7.774801574802362
6,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,7.0,3.191653435883163,[1],0.5371490692490921,2.9043530813719793,0.4748668360547345,7.774801574802362
7,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,8.0,3.475397525745143,[1],0.2837440898619801,3.4005512913455784,0.5165538691854621,7.774801574802362
8,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,9.0,3.759141615607123,[1],0.2837440898619801,3.9355093903289,0.5523866140741781,7.774801574802362
9,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,10.0,4.193452601457857,[1],0.43431098585073347,4.50337309007993,0.5823650707208822,7.774801574802362
10,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,11.0,5.21266118951493,[1],1.0192085880570732,5.09828810235666,0.6064892391255745,7.774801574802362
11,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,12.0,5.7876477567546205,[1],0.5749865672396908,5.714400138917076,0.624759119288255,7.774801574802362
12,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,13.0,6.3474184343580795,[1],0.559770677603459,6.345854911519167,0.6371747112089235,7.774801574802362
13,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,14.0,6.89827895623872,[1],0.5508605218806402,6.986798131920921,0.6437360148875805,7.774801574802362
14,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,15.0,7.44913947811936,[1],0.5508605218806402,7.631375511880324,0.6444430303242255,7.774801574802362
15,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,16.0,8.0,[1],0.5508605218806402,8.273732763155367,0.6392957575188586,7.774801574802362
16,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,17.0,9.198582832190176,[1],1.1985828321901764,8.908015597504036,0.6282941964714799,7.774801574802362
17,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,18.0,9.530228270206884,[1],0.3316454380167073,9.528369726684325,0.6114383471820893,7.774801574802362
18,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,19.0,9.861873708223591,[1],0.3316454380167073,10.128940862454213,0.588728209650687,7.774801574802362
19,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,20.0,10.722829997557614,[1],0.8609562893340232,10.703874716571693,0.5601637838772728,7.774801574802362
20,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,21.0,11.569397989623068,[1],0.8465679920654541,11.247317000794755,0.5257450698618469,7.774801574802362
21,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,22.0,12.114958148251151,[1],0.5455601586280832,11.753413426881382,0.485472067604409,7.774801574802362
22,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,23.0,12.39332951592348,[1],0.27837136767232806,12.216309706589566,0.43934477710495945,7.774801574802362
23,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,24.0,12.67170088359581,[1],0.27837136767232984,12.630151551677297,0.38736319836349786,7.774801574802362
24,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,25.0,12.95007225126814,[1],0.27837136767232984,12.98908467390256,0.3295273313800247,7.774801574802362
25,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,26.0,13.132247653299785,[1],0.18217540203164617,13.287254785023343,0.2658371761545396,7.774801574802362
26,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,27.0,13.293398839274083,[1],0.16115118597429756,13.518807596797636,0.19629273268704267,7.774801574802362
27,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,28.0,13.454550025248382,[1],0.16115118597429934,13.677888820983426,0.12089400097753389,7.774801574802362
28,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,29.0,13.615701211222682,[1],0.16115118597429934,13.758644169338698,0.03964098102601327,7.774801574802362
29,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,30.0,13.77685239719698,[1],0.16115118597429756,13.755219353621447,-0.047466327167519126,7.774801574802362
30,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,31.0,13.938003583171277,[1],0.16115118597429756,13.661760085589657,-0.1404279236030634,7.774801574802362
31,1.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,32.0,,[1],,,,
