,H,name,step,acf,quadrants,acf_diff,spline,spline_gradient,smooth
0,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,1.0,1.0,[2],,0.5820997071105365,0.880232037908047,4.56619037896906
1,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,2.0,1.3083906286540756,[2],0.3083906286540756,1.398940191153335,0.75513231110525,4.56619037896906
2,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,3.0,1.6167812573081513,[2],0.3083906286540756,2.0957310911764364,0.6401328698686521,4.56619037896906
3,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,4.0,1.9251718859622269,[2],0.3083906286540756,2.682572692746039,0.535233714198253,4.56619037896906
4,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,5.0,3.578146072565092,[2],1.652974186602865,3.1695652814283424,0.44043484409405287,4.56619037896906
5,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,6.0,4.049959626073664,[2],0.47181355350857235,3.566809142789544,0.35573625955605165,4.56619037896906
6,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,7.0,4.131216565581019,[2],0.08125693950735435,3.8844045623958445,0.28113796058424934,4.56619037896906
7,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,8.0,4.212473505088373,[2],0.08125693950735435,4.132451825813442,0.21663994717864588,4.56619037896906
8,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,9.0,4.293730444595727,[2],0.08125693950735435,4.321051218608536,0.16224221933924143,4.56619037896906
9,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,10.0,4.374987384103082,[2],0.08125693950735435,4.460303026347325,0.1179447770660359,4.56619037896906
10,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,11.0,4.456244323610436,[2],0.08125693950735435,4.560307534596008,0.08374762035902927,4.56619037896906
11,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,12.0,4.5375012631177905,[2],0.08125693950735435,4.631165028920783,0.05965074921822158,4.56619037896906
12,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,13.0,4.618758202625145,[2],0.08125693950735435,4.6829757948878505,0.04565416364361282,4.56619037896906
13,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,14.0,4.700015142132499,[2],0.08125693950735435,4.725840118063409,0.041757863635202966,4.56619037896906
14,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,15.0,4.7812720816398535,[2],0.08125693950735435,4.769858284013656,0.04796184919299204,4.56619037896906
15,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,16.0,4.862529021147208,[2],0.08125693950735435,4.825130578304793,0.06426612031698004,4.56619037896906
16,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,17.0,4.943785960654562,[2],0.08125693950735435,4.901757286503016,0.09067067700716697,4.56619037896906
17,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,18.0,,[2],,,,
