,H,name,step,acf,quadrants,acf_diff,spline,spline_gradient,smooth
0,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,57.0,1.0,[3],,0.434567402854856,0.0757290994144592,57.81302503786832
1,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,58.0,1.026315789473684,[3],0.02631578947368407,0.5099956160801277,0.07512785971078462,57.81302503786832
2,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,59.0,1.0526315789473684,[3],0.026315789473684292,0.5848241876258259,0.07452981605531195,57.81302503786832
3,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,60.0,1.0789473684210527,[3],0.026315789473684292,0.6590563135401521,0.07393496844804115,57.81302503786832
4,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,61.0,1.1052631578947367,[3],0.02631578947368407,0.7326951898713089,0.07334331688897223,57.81302503786832
5,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,62.0,1.131578947368421,[3],0.026315789473684292,0.8057440126674975,0.07275486137810523,57.81302503786832
6,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,63.0,1.157894736842105,[3],0.02631578947368407,0.87820597797692,0.07216960191544011,57.81302503786832
7,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,64.0,1.1842105263157894,[3],0.026315789473684292,0.9500842818477783,0.07158753850097688,57.81302503786832
8,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,65.0,1.2105263157894737,[3],0.026315789473684292,1.0213821203282742,0.07100867113471553,57.81302503786832
9,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,66.0,1.2368421052631577,[3],0.02631578947368407,1.0921026894666102,0.07043299981665607,57.81302503786832
10,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,67.0,1.263157894736842,[3],0.026315789473684292,1.162249185310987,0.06986052454679852,57.81302503786832
11,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,68.0,1.289473684210526,[3],0.02631578947368407,1.2318248039096076,0.06929124532514286,57.81302503786832
12,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,69.0,1.3157894736842104,[3],0.026315789473684292,1.3008327413106735,0.06872516215168906,57.81302503786832
13,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,70.0,1.3421052631578947,[3],0.026315789473684292,1.3692761935623867,0.06816227502643717,57.81302503786832
14,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,71.0,1.3684210526315788,[3],0.02631578947368407,1.4371583567129484,0.06760258394938716,57.81302503786832
15,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,72.0,1.394736842105263,[3],0.026315789473684292,1.5044824268105614,0.06704608892053905,57.81302503786832
16,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,73.0,1.4210526315789473,[3],0.026315789473684292,1.571251599903427,0.06649278993989283,57.81302503786832
17,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,74.0,1.4473684210526314,[3],0.02631578947368407,1.6374690720397476,0.0659426870074485,57.81302503786832
18,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,75.0,1.4736842105263157,[3],0.026315789473684292,1.703138039267725,0.06539578012320606,57.81302503786832
19,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,76.0,1.5,[3],0.026315789473684292,1.7682616976355605,0.0648520692871655,57.81302503786832
20,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,77.0,1.526315789473684,[3],0.02631578947368407,1.8328432431914565,0.06431155449932685,57.81302503786832
21,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,78.0,1.5526315789473681,[3],0.02631578947368407,1.8968858719836148,0.06377423575969006,57.81302503786832
22,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,79.0,1.5789473684210527,[3],0.026315789473684514,1.9603927800602372,0.06324011306825518,57.81302503786832
23,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,80.0,1.6052631578947367,[3],0.02631578947368407,2.0233671634695254,0.06270918642502218,57.81302503786832
24,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,81.0,1.6315789473684208,[3],0.02631578947368407,2.0858122182596825,0.062181455829991086,57.81302503786832
25,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,82.0,1.6578947368421053,[3],0.026315789473684514,2.147731140478909,0.06165692128316187,57.81302503786832
26,0.0,ph_lines_angles_500_10_20_0p16667pi.npy.csv,83.0,1.6842105263157894,[3],0.02631578947368407,2.2091271261754066,0.06113558278453454,57.81302503786832
