birth,death,H_k
-323.19415639850126,inf,0.0
-256.37828110507377,5.385164807134504,0.0
-213.643311523818,1.0,0.0
-188.02108567652337,4.242640687119285,0.0
-137.88660383955835,17.69180601295413,0.0
-290.48622196719833,-155.78294725226087,0.0
-109.50460127028975,4.47213595499958,0.0
-219.4637595292629,-128.38971654643044,0.0
-199.14200052951736,-164.12635780603986,0.0
-232.566890841089,-213.5685220472276,0.0
-201.2060210610379,-187.02694828206558,0.0
-225.0,-213.57208254766434,0.0
-196.83448215336801,-189.42478922996938,0.0
-318.3068634048505,-316.66369059481104,0.0
-109.18782710003981,-108.34780684878874,0.0
-108.4597792621339,-107.66689219676539,0.0
-109.40850382729982,-108.61866411644101,0.0
-196.7104580717459,-195.93039507862366,0.0
-232.48868365456656,-231.7379862753766,0.0
-196.5897080874316,-195.84817421224628,0.0
-107.0911099210885,-106.35105491845923,0.0
-196.03481396206314,-195.33998613387178,0.0
-195.5544257481453,-194.89940289238385,0.0
-232.5421883944882,-231.93444384266297,0.0
-194.57603693296292,-193.9687530511619,0.0
-196.1994930299652,-195.59545461067097,0.0
-232.5092596121005,-231.90986935873974,0.0
-196.59288453186113,-196.00949395612406,0.0
-196.1329673427666,-195.5544257481453,0.0
-193.74395487221082,-193.177116056203,0.0
-212.26433053038483,-211.69750529242293,0.0
-232.3694117419471,-231.80343703687896,0.0
-232.43520246387115,-231.87711107249385,0.0
-196.28506728911177,-195.73124123820267,0.0
-195.90825448493524,-195.35574387958448,0.0
-232.14763030617746,-231.61536044094424,0.0
-192.75484503402902,-192.2285562900547,0.0
-195.19193975115746,-194.6732916300597,0.0
-290.3682469202679,-289.8595291567017,0.0
-231.844361570986,-231.34601514830428,0.0
-318.0,-317.5034248182107,0.0
-194.61053987167156,-194.11879410011946,0.0
-191.1841531054179,-190.70578699782408,0.0
-209.0586325440525,-208.58679564771293,0.0
-290.39968553536863,-289.92972608143464,0.0
-193.87504879001523,-193.41046111281096,0.0
-231.46021054367688,-230.99593502652036,0.0
-322.69504831500296,-322.23523965146285,0.0
-290.0468921787221,-289.58726833924834,0.0
-108.926541624761,-108.47810688250223,0.0
-232.19277525532402,-231.75025562398912,0.0
-192.98757811895382,-192.55031743605068,0.0
-230.99593502652036,-230.56580700632423,0.0
-191.95062480836282,-191.54077434629943,0.0
-289.5251987207405,-289.11548720996666,0.0
-230.452438308156,-230.05646446869446,0.0
-231.81571295784389,-231.42349327868737,0.0
-190.76703764251536,-190.3845973020877,0.0
-229.83076065305062,-229.4688793915352,0.0
-189.4399805542063,-189.0848703120299,0.0
-231.35824528326415,-231.01626123751157,0.0
-288.2124631864059,-287.87133753053826,0.0
-187.97289377935903,-187.64495799645866,0.0
-229.13206976969627,-228.80415342352606,0.0
-321.42700505019536,-321.10623159320295,0.0
-290.10946862014686,-289.7971963229019,0.0
-183.96176900473236,-183.6562299348755,0.0
-195.6838605826936,-195.38095952881318,0.0
-213.28397390488885,-212.98581631623009,0.0
-228.35765045176845,-228.06350806855068,0.0
-185.7085860776017,-185.4147100130026,0.0
-230.82126806952428,-230.5293557156196,0.0
-287.23923307810196,-286.9477815430391,0.0
-183.93824651027498,-183.67090677162636,0.0
-182.03197971715787,-181.76469583735164,0.0
-227.50889359326482,-227.24827417348513,0.0
-322.8551769952051,-322.59936306378484,0.0
-286.0882926146014,-285.8457631544451,0.0
-230.20581596860052,-229.96371498629927,0.0
-182.04070249038583,-181.79953542455235,0.0
-226.58728477895153,-226.3598809151292,0.0
-179.38614029808517,-179.16293299188527,0.0
-180.0201161053382,-179.8047072966666,0.0
-194.94969349290773,-194.74548672015604,0.0
-284.7685042773161,-284.57378016916084,0.0
-225.59439264580382,-225.3998444790987,0.0
-229.51305289308442,-229.32041065194352,0.0
-177.88072223632076,-177.69061284208377,0.0
-221.06392513692907,-220.87599765632044,0.0
-319.4746469967359,-319.2868900845804,0.0
-177.18371115759726,-176.99717516378448,0.0
-175.6267957343368,-175.46148874822552,0.0
-224.53185720031357,-224.36975661520958,0.0
-289.6183255887205,-289.4631887989498,0.0
-283.28932188134524,-283.1409850477725,0.0
-174.23070340016346,-174.08613171853594,0.0
-228.74426160849953,-228.6006379601555,0.0
-173.2626214641808,-173.12158779998094,0.0
-223.40137826148393,-223.271273241112,0.0
-170.79246740376638,-170.6751517115042,0.0
-171.77760840116272,-171.66788543978328,0.0
-281.6605225343727,-281.55691889490066,0.0
-222.20470418106723,-222.10610324961962,0.0
-317.8752162636231,-317.77845944745036,0.0
-227.90083267523136,-227.80570535876038,0.0
-168.5438057114295,-168.47372153789104,0.0
-279.89197074540436,-279.8312734368454,0.0
-108.0,-107.94919223867603,0.0
-226.98425294476277,-226.93702348835046,0.0
-200.55619921287143,-200.51710192988926,0.0
-165.86175295809733,-165.8245499540389,0.0
-194.0,-193.9718774714894,0.0
-277.99342133736053,-277.9736887650072,0.0
-288.9461761308376,-288.93080606001024,0.0
-226.0,-225.99609380960283,0.0
-187.09583588178515,1.0,1.0
-186.7576608630458,1.0,1.0
19.4164878389476,45.60701700396552,1.0
31.38470965295043,47.38143096192854,1.0
10.63014581273465,25.0,1.0
16.0,30.01666203960727,1.0
20.223748416156685,28.0,1.0
21.587033144922902,28.178005607210743,1.0
16.0,22.561028345356956,1.0
12.36931687685298,18.110770276274835,1.0
16.401219466856727,21.470910553583888,1.0
6.324555320336759,10.198039027185569,1.0
25.179356624028344,27.85677655436824,1.0
1.0,3.605551275463989,1.0
9.848857801796104,12.165525060596439,1.0
5.385164807134504,7.0710678118654755,1.0
5.0,6.0,1.0
1.4142135623730951,2.23606797749979,1.0
1.4142135623730951,2.23606797749979,1.0
1.4142135623730951,2.23606797749979,1.0
1.4142135623730951,2.23606797749979,1.0
1.4142135623730951,2.23606797749979,1.0
1.4142135623730951,2.23606797749979,1.0
1.4142135623730951,2.23606797749979,1.0
1.4142135623730951,2.23606797749979,1.0
1.4142135623730951,2.23606797749979,1.0
1.4142135623730951,2.23606797749979,1.0
10.198039027185569,11.0,1.0
2.8284271247461903,3.605551275463989,1.0
5.656854249492381,6.4031242374328485,1.0
5.656854249492381,6.4031242374328485,1.0
7.280109889280518,8.0,1.0
7.280109889280518,8.0,1.0
8.246211251235321,8.94427190999916,1.0
21.93171219946131,22.627416997969522,1.0
21.93171219946131,22.627416997969522,1.0
14.317821063276353,15.0,1.0
15.132745950421556,15.811388300841896,1.0
8.54400374531753,9.219544457292887,1.0
6.4031242374328485,7.0710678118654755,1.0
6.4031242374328485,7.0710678118654755,1.0
6.4031242374328485,7.0710678118654755,1.0
6.4031242374328485,7.0710678118654755,1.0
5.656854249492381,6.324555320336759,1.0
12.36931687685298,13.0,1.0
9.219544457292887,9.848857801796104,1.0
9.219544457292887,9.848857801796104,1.0
43.41658669218482,44.04543109109048,1.0
43.41658669218482,44.04543109109048,1.0
22.02271554554524,22.627416997969522,1.0
43.60045871318328,44.204072210600685,1.0
11.40175425099138,12.0,1.0
20.615528128088304,21.213203435596427,1.0
2.23606797749979,2.8284271247461903,1.0
2.23606797749979,2.8284271247461903,1.0
2.23606797749979,2.8284271247461903,1.0
2.23606797749979,2.8284271247461903,1.0
2.23606797749979,2.8284271247461903,1.0
2.23606797749979,2.8284271247461903,1.0
2.23606797749979,2.8284271247461903,1.0
2.23606797749979,2.8284271247461903,1.0
2.23606797749979,2.8284271247461903,1.0
2.23606797749979,2.8284271247461903,1.0
2.23606797749979,2.8284271247461903,1.0
2.23606797749979,2.8284271247461903,1.0
2.23606797749979,2.8284271247461903,1.0
2.23606797749979,2.8284271247461903,1.0
2.23606797749979,2.8284271247461903,1.0
20.808652046684813,21.400934559032695,1.0
1.4142135623730951,2.0,1.0
1.4142135623730951,2.0,1.0
1.4142135623730951,2.0,1.0
36.61966684720111,37.20215047547655,1.0
17.804493814764857,18.384776310850235,1.0
43.829214001622255,44.40720662234904,1.0
20.518284528683193,21.095023109728988,1.0
38.01315561749642,38.58756276314948,1.0
5.830951894845301,6.4031242374328485,1.0
44.654227123532216,45.221676218380054,1.0
43.266615305567875,43.829214001622255,1.0
38.27531841800928,38.8329756778952,1.0
43.01162633521314,43.56604182158393,1.0
17.804493814764857,18.35755975068582,1.0
44.10215414239989,44.654227123532216,1.0
36.89173349139343,37.44329045369811,1.0
10.63014581273465,11.180339887498949,1.0
7.0710678118654755,7.615773105863909,1.0
31.906112267087632,32.449961479175904,1.0
44.40720662234904,44.94441010848846,1.0
17.46424919657298,18.0,1.0
17.4928556845359,18.027756377319946,1.0
21.400934559032695,21.93171219946131,1.0
4.47213595499958,5.0,1.0
4.47213595499958,5.0,1.0
4.47213595499958,5.0,1.0
14.035668847618199,14.560219778561036,1.0
31.38470965295043,31.906112267087632,1.0
31.38470965295043,31.906112267087632,1.0
20.0,20.518284528683193,1.0
21.95449840010015,22.47220505424423,1.0
8.54400374531753,9.055385138137417,1.0
43.9089968002003,44.41846462902562,1.0
44.94441010848846,45.45327270945405,1.0
16.492422502470642,17.0,1.0
20.591260281974,21.095023109728988,1.0
20.591260281974,21.095023109728988,1.0
10.816653826391969,11.313708498984761,1.0
39.319206502675,39.81205847478876,1.0
36.40054944640259,36.89173349139343,1.0
19.209372712298546,19.697715603592208,1.0
19.235384061671343,19.72308292331602,1.0
16.278820596099706,16.76305461424021,1.0
8.06225774829855,8.54400374531753,1.0
16.55294535724685,17.029386365926403,1.0
15.524174696260024,16.0,1.0
37.8021163428716,38.27531841800928,1.0
17.88854381999832,18.35755975068582,1.0
17.88854381999832,18.35755975068582,1.0
20.12461179749811,20.591260281974,1.0
20.12461179749811,20.591260281974,1.0
42.80186911806539,43.266615305567875,1.0
17.0,17.46424919657298,1.0
17.0,17.46424919657298,1.0
38.58756276314948,39.05124837953327,1.0
19.235384061671343,19.697715603592208,1.0
21.470910553583888,21.93171219946131,1.0
44.82186966202994,45.27692569068709,1.0
19.79898987322333,20.248456731316587,1.0
26.476404589747453,26.92582403567252,1.0
25.495097567963924,25.942243542145693,1.0
18.788294228055936,19.235384061671343,1.0
16.55294535724685,17.0,1.0
7.615773105863909,8.06225774829855,1.0
7.615773105863909,8.06225774829855,1.0
7.615773105863909,8.06225774829855,1.0
5.385164807134504,5.830951894845301,1.0
5.385164807134504,5.830951894845301,1.0
5.385164807134504,5.830951894845301,1.0
5.385164807134504,5.830951894845301,1.0
3.1622776601683795,3.605551275463989,1.0
3.1622776601683795,3.605551275463989,1.0
3.1622776601683795,3.605551275463989,1.0
3.1622776601683795,3.605551275463989,1.0
3.1622776601683795,3.605551275463989,1.0
37.20215047547655,37.64306044943742,1.0
17.029386365926403,17.46424919657298,1.0
20.591260281974,21.02379604162864,1.0
20.591260281974,21.02379604162864,1.0
9.055385138137417,9.486832980505138,1.0
18.35755975068582,18.788294228055936,1.0
18.35755975068582,18.788294228055936,1.0
21.93171219946131,22.360679774997898,1.0
18.439088914585774,18.867962264113206,1.0
19.697715603592208,20.12461179749811,1.0
13.892443989449804,14.317821063276353,1.0
17.46424919657298,17.88854381999832,1.0
22.20360331117452,22.627416997969522,1.0
18.788294228055936,19.209372712298546,1.0
18.788294228055936,19.209372712298546,1.0
21.213203435596427,21.633307652783937,1.0
9.433981132056603,9.848857801796104,1.0
